id,quote,quote_in_cell_28,stated,recomputed,holds,source
C23,"Counting them as false positives does not (p = 0.064 / 0.037, Holm 0.52 / 0.33)",True,0.064/0.037; 0.52/0.33,0.064453/0.036865; 0.515625/0.331787,True,exact
C24,The direction stays negative at every K under all three rules,True,9/9 negative,True,True,exact
C25,"ties on 10 / 10 / 6 ROIs, losses on 3 / 4 / 5, wins on 1 / 0 / 3 (p = 0.625 / 0.125 / 0.297)",True,-1.4/-2.9/-1.7; 10/10/6; 3/4/5; 1/0/3; 0.625/0.125/0.297,"['-1.4/-2.9/-1.7', [10, 10, 6], [3, 4, 5], [1, 0, 3], ['0.625', '0.125', '0.297']]",True,exact
C26,"With only 4 non-tied ROIs at K = 10 and 20, the smallest attainable p is 0.125",True,4; 0.125,4/4; 1/8/1/8,True,exact
C27,"it loses at some K on `246`, `402`, `459`, `529` and `548`, and wins at some K on `094`, `233` and `301`",True,"246,402,459,529,548 | 094,233,301","['246.tiff', '402.tiff', '459.tiff', '529.tiff', '548.tiff'] | ['094.tiff', '233.tiff', '301.tiff']",True,JSON-rematched TP
C28,"On `245.tiff` (0 px offset) and `201.tiff` (0.5 px, which `read_padded_patch` rounds to the same pixel) the template is identical to `default_51`'s, and so is the list",True,"245 0 px, 201 0.5 px; identical template and list","offsets 245 0.00, 201 0.50; same-pixel ROIs ['201.tiff', '245.tiff']; identical lists ['201.tiff', '245.tiff']",True,round-1 pixel geometry; python round() as read_padded_patch
C29,"`403.tiff` is the only real same-size centring shift (2 px): its top-30 list changes completely, but its TP counts at K = 10/20/30 don't",True,only 403; 2 px; 0 shared of 30; TP equal,"ceiling ['201.tiff', '245.tiff', '403.tiff']; shifted ['403.tiff']; offset 2.00; shared top-30 coords 0; TP equal True",True,round-1 pixel geometry; top30 CSV; JSON TP
C30,"`hem_bbox` vs. `gray_bbox` reproduces the reference notebook exactly.** -2.1 / -3.9 / -2.6 points; wins/losses/ties 0/3/11, 3/9/2 and 3/7/4; p = 0.25 / 0.090 / 0.098 (Holm 0.75 / 0.54 / 0.54)",True,as stated; equal to reference notebook cell 24 chromatin_od rows,"['2.1/3.9/2.6', [(0, 3, 11), (3, 9, 2), (3, 7, 4)], ['0.25', '0.090', '0.098'], ['0.75', '0.54', '0.54']]; reference rows equal: True",True,exact; reference notebook printed output
C31,`245.tiff` is the worst ROI under every condition at every K (tied with `529.tiff` for `gray_bbox` at K = 30),True,245 everywhere; +529 at gray K=30 only,"{'default_51/K10': ['245.tiff'], 'default_51/K20': ['245.tiff'], 'default_51/K30': ['245.tiff'], 'gray_bbox/K10': ['245.tiff'], 'gray_bbox/K20': ['245.tiff'], 'gray_bbox/K30': ['245.tiff', '529.tiff'], 'hem_bbox/K10': ['245.tiff'], 'hem_bbox/K20': ['245.tiff'], 'hem_bbox/K30': ['245.tiff']}",True,JSON-rematched TP
C32,"`hem_bbox` pulls it from 0.20 down to 0.10 at K = 20, and from 0.23 to 0.17 at K = 30. `default_51` and `gray_bbox` are identical there by construction",True,0.20->0.10; 0.23->0.17; default == gray,K20 0.20->0.10; K30 0.23->0.17; default==gray True,True,JSON-rematched TP; pixel geometry
C33,median template size (51 -> 40 -> 28 px),True,"51/40/28; offsets 2.5 gray, 3.5 hem","[51.0, 40.0, 28.0]; [2.5, 3.473]",True,round-1 pixel geometry; JSON click
C34,"all three pairs tie on 9-11 of 14 ROIs, whatever the size gap between their templates (mean 9.9-21.7 px)",True,9-11; 9.9-21.7,9-11; 9.9-21.7,True,JSON TP; per_roi base_size
C35,"the top-10 lists share only 1-2 exact candidate coordinates in total, yet find 5.2-6.8 of the same mitoses per ROI on average",True,1-2; 5.2-6.8,"[2, 1, 2]; [6.75, 5.29, 5.21]",True,top30 CSV; JSON matching; pixel geometry for same-template
C36,which is the reading the reference notebook now gives for its own K = 10 ties,True,reference reads K=10 ties as converging on the same mitoses,reference cell 32 says 'recover the same mitotic objects': True; its chromatin_od hem/gray mean_shared 5.214 vs this notebook's hem-gray K=10 5.21,True,reference notebook text and printed output
C37,"`gray_bbox - default_51` (mean gap 11.9 px) ties on 10 ROIs, while `hem_bbox - default_51` (21.7 px) and `hem_bbox - gray_bbox` (9.9 px, the smallest gap) each tie on only 2",True,10/2/2; 11.9/21.7/9.9,"[10, 2, 2]; [11.9, 21.7, 9.9]",True,JSON TP; per_roi base_size
C38,"Production `gray_bbox` (gray gate alone) would also have clicked differently on `013`, `245` and `300`, where only the `hematoxylin_od` gate refused the first draw. That includes `245`, the worst ROI.",True,"default alone: 013,245,300,403; gray: 013,245,300; only hem refused first draw there","default ['013.tiff', '245.tiff', '300.tiff', '403.tiff']; gray (attribution) ['013.tiff', '245.tiff', '300.tiff']; gray (production select_annotation) ['013.tiff', '245.tiff', '300.tiff']; first draw refused only by hem on ['013.tiff', '245.tiff', '300.tiff']",True,round-1 pixel walk; production seed draw (Tier B)
C39,"On a click either gate refuses, at least one tightened condition doesn't exist, so the three-way comparison isn't defined there.",True,"every refused draw: >= 1 tightened condition refused, default_51 never refuses","4 refused draws; refusing sets ['gray_bbox+hem_bbox', 'hem_bbox']; click readable on all: True",True,round-1 pixel walk
C40,Domain-level numbers move in steps of 1/(2K),True,multiples of 1/(2K),True,True,by_domain CSV; JSON tumour types (2 per domain)
C41,"D5's bar (5 seeds x 14 ROIs, ROI-clustered paired delta) is not met",True,"D5 amendment names 5 seeds x 14 ROIs, clustered at ROI; D9 validated on tm_score; seed_index 0","{'d5_five_seeds_14_rois': True, 'd5_clustered_at_roi': True, 'd9_tm_score_arm': True, 'seed_index_0': True}",True,DECISIONS.md text; cell 1
