cell,claim,claimed,recomputed,match
27,gray_bbox - default_51 K=20 pooled delta pts,-2.35,-2.35,True
27,gray_bbox - default_51 K=20 CI pts,"[-3.78, -0.92]","[-3.78, -0.92]",True
27,gray_bbox - default_51 K=20 W/L/T,12/32/5,12/32/5,True
27,gray_bbox - default_51 K=20 exact p (2 sf),0.0025,0.0025,True
27,gray_bbox - default_51 K=20 Holm p (2 sf),0.01,0.01,True
27,gray_bbox - default_51 K=20 D5 bar,True,True,True
27,gray_bbox - default_51 K=30 pooled delta pts,-1.95,-1.95,True
27,gray_bbox - default_51 K=30 CI pts,"[-3.11, -0.79]","[-3.11, -0.79]",True
27,gray_bbox - default_51 K=30 W/L/T,9/29/11,9/29/11,True
27,gray_bbox - default_51 K=30 exact p (2 sf),0.0014,0.0014,True
27,gray_bbox - default_51 K=30 Holm p (2 sf),0.0068,0.0068,True
27,gray_bbox - default_51 K=30 D5 bar,True,True,True
27,hem_bbox - default_51 K=10 pooled delta pts,-2.99,-2.99,True
27,hem_bbox - default_51 K=10 CI pts,"[-5.78, +0.00]","[-5.78, +0.00]",True
27,hem_bbox - default_51 K=10 W/L/T,11/25/13,11/25/13,True
27,hem_bbox - default_51 K=10 exact p (2 sf),0.052,0.052,True
27,hem_bbox - default_51 K=10 Holm p (2 sf),0.1,0.1,True
27,hem_bbox - default_51 K=10 D5 bar,False,False,True
27,hem_bbox - default_51 K=20 pooled delta pts,-5.65,-5.65,True
27,hem_bbox - default_51 K=20 CI pts,"[-8.06, -3.37]","[-8.06, -3.37]",True
27,hem_bbox - default_51 K=20 W/L/T,8/37/4,8/37/4,True
27,hem_bbox - default_51 K=20 exact p (2 sf),5.5e-06,5.5e-06,True
27,hem_bbox - default_51 K=20 Holm p (2 sf),3.9e-05,3.9e-05,True
27,hem_bbox - default_51 K=20 D5 bar,True,True,True
27,hem_bbox - default_51 K=30 pooled delta pts,-5.33,-5.33,True
27,hem_bbox - default_51 K=30 CI pts,"[-7.30, -3.47]","[-7.30, -3.47]",True
27,hem_bbox - default_51 K=30 W/L/T,7/36/6,7/36/6,True
27,hem_bbox - default_51 K=30 exact p (2 sf),5e-07,5e-07,True
27,hem_bbox - default_51 K=30 Holm p (2 sf),4.5e-06,4.5e-06,True
27,hem_bbox - default_51 K=30 D5 bar,True,True,True
27,hem_bbox - gray_bbox K=10 pooled delta pts,-2.18,-2.18,True
27,hem_bbox - gray_bbox K=10 CI pts,"[-4.15, -0.34]","[-4.15, -0.34]",True
27,hem_bbox - gray_bbox K=10 W/L/T,7/23/19,7/23/19,True
27,hem_bbox - gray_bbox K=10 exact p (2 sf),0.034,0.034,True
27,hem_bbox - gray_bbox K=10 Holm p (2 sf),0.1,0.1,True
27,hem_bbox - gray_bbox K=10 D5 bar,False,False,True
27,hem_bbox - gray_bbox K=20 pooled delta pts,-3.3,-3.3,True
27,hem_bbox - gray_bbox K=20 CI pts,"[-5.20, -1.73]","[-5.20, -1.73]",True
27,hem_bbox - gray_bbox K=20 W/L/T,8/31/10,8/31/10,True
27,hem_bbox - gray_bbox K=20 exact p (2 sf),5.1e-05,5.1e-05,True
27,hem_bbox - gray_bbox K=20 Holm p (2 sf),0.00031,0.00031,True
27,hem_bbox - gray_bbox K=20 D5 bar,True,True,True
27,hem_bbox - gray_bbox K=30 pooled delta pts,-3.38,-3.38,True
27,hem_bbox - gray_bbox K=30 CI pts,"[-5.01, -1.97]","[-5.01, -1.97]",True
27,hem_bbox - gray_bbox K=30 W/L/T,5/33/11,5/33/11,True
27,hem_bbox - gray_bbox K=30 exact p (2 sf),2.2e-06,2.2e-06,True
27,hem_bbox - gray_bbox K=30 Holm p (2 sf),1.7e-05,1.7e-05,True
27,hem_bbox - gray_bbox K=30 D5 bar,True,True,True
27,min_attainable_p at most 2.3e-10 in every all_49 row,<=2.3e-10,<=1.9e-09,False
27,hem_bbox - default_51 K=10: 2.5% of resamples at or above 0,0.025,0.025,True
27,replication: same sign 9/9,9,9,True
27,replication: CIs overlap 9/9,9,9,True
27,testing_35 gray_bbox - default_51 K=20 Holm p,0.0325,0.032,True
27,testing_35 gray_bbox - default_51 K=20 D5 bar met,True,True,True
27,testing_35 gray_bbox - default_51 K=30 Holm p,0.0014,0.0014,True
27,testing_35 gray_bbox - default_51 K=30 D5 bar met,True,True,True
27,testing_35 hem_bbox - default_51 K=20 Holm p,0.0014,0.0014,True
27,testing_35 hem_bbox - default_51 K=20 D5 bar met,True,True,True
27,testing_35 hem_bbox - default_51 K=30 Holm p,2.8e-05,2.8e-05,True
27,testing_35 hem_bbox - default_51 K=30 D5 bar met,True,True,True
27,testing_35 hem_bbox - gray_bbox K=20 Holm p,0.0037,0.0037,True
27,testing_35 hem_bbox - gray_bbox K=20 D5 bar met,True,True,True
27,testing_35 hem_bbox - gray_bbox K=30 Holm p,0.00054,0.00054,True
27,testing_35 hem_bbox - gray_bbox K=30 D5 bar met,True,True,True
27,testing_35: no K=10 Holm p below 0.17,True,True,True
27,testing_35 hem_bbox - gray_bbox K=10 CI and ROIs,"[-4.38, -0.10], 18/35","[-4.38, -0.10], 18/35",True
27,original_14 hem_bbox - default_51 K=20 exact p,0.013,0.013,True
27,original_14 hem_bbox - default_51 K=20 D5 bar met (bootstrap),True,True,True
27,original_14 hem_bbox - default_51 K=30 exact p,0.042,0.042,True
27,original_14 hem_bbox - default_51 K=30 D5 bar met (bootstrap),True,True,True
27,original_14 hem_bbox - gray_bbox K=20 exact p,0.046,0.046,True
27,original_14 hem_bbox - gray_bbox K=20 D5 bar met (bootstrap),True,True,True
27,original_14 hem_bbox - gray_bbox K=30 exact p,0.018,0.018,True
27,original_14 hem_bbox - gray_bbox K=30 D5 bar met (bootstrap),True,True,True
27,original_14 gray_bbox - default_51 CI includes 0 at every K,True,True,True
27,gray_bbox - default_51 negative at every K in all three human domains,True,True,True
27,human breast / melanoma / NET gray-default pts,-1.43/-5.48/-5.24; -3.81/-4.76/-3.65; -5.71/-3.81/-3.33,-1.43/-5.48/-5.24; -3.81/-4.76/-3.65; -5.71/-3.81/-3.33,True
27,mast cell gray-default +0.48..+1.43 at every K; lung +1.43/0/0,1.43/0.95/0.48; 1.43/0.00/0.00,1.43/0.95/0.48; 1.43/0.00/0.00,True
27,hem_bbox - default_51 negative in 6/7 domains at K=20 and 7/7 at K=30,6/7;7/7,6/7;7/7,True
27,canine lung is the one domain where no refinement moves precision by more than 1.9 pts at any K,"canine lung cancer only, 1.9","canine lung cancer only, 1.9",True
27,211.tiff has 0 TPs in the top 30 on all 9 runs,9,9,True
27,245.tiff K=20 original_14 worst ROI: 0.0833/0.1167/0.1000,0.0833/0.1167/0.1000,0.0833/0.1167/0.1000,True
27,original_14 worst ROI is 245.tiff under every condition (every K),True,True,True
27,median template size 51 / 39 / 29,51/39/29,51/39/29,True
10,default_51 alone would have clicked differently (re-derived from pixels),26,26,True
10,production gray_bbox alone would have clicked differently (re-derived from pixels),10,10,True
10,hem_bbox alone would have clicked differently (re-derived from pixels; not claimed by the notebook),n/a,2,True
