file_name,arm,quantity,audit,notebook,agrees
201.tiff,chromatin_od,seed_ann_id,4457,4457,True
201.tiff,chromatin_od,n_gt_mitotic,17,17,True
201.tiff,chromatin_od,n_detections,17139,17139,True
201.tiff,chromatin_od,tp_at_10,3,3,True
201.tiff,chromatin_od,tp_at_20,6,6,True
201.tiff,chromatin_od,tp_at_30,9,9,True
201.tiff,chromatin_od,tp_at_50,11,11,True
233.tiff,tm_score,base_size,23,23,True
233.tiff,tm_score,seed_ann_id,5761,5761,True
233.tiff,tm_score,n_gt_mitotic,17,17,True
233.tiff,tm_score,n_detections,17900,17900,True
233.tiff,tm_score,tp_at_10,4,4,True
233.tiff,tm_score,tp_at_20,6,6,True
233.tiff,tm_score,tp_at_30,7,7,True
233.tiff,tm_score,tp_at_50,7,7,True
233.tiff,chromatin_od,base_size,23,23,True
233.tiff,chromatin_od,seed_ann_id,5761,5761,True
233.tiff,chromatin_od,n_gt_mitotic,17,17,True
233.tiff,chromatin_od,n_detections,17900,17900,True
233.tiff,chromatin_od,tp_at_10,5,5,True
233.tiff,chromatin_od,tp_at_20,10,10,True
233.tiff,chromatin_od,tp_at_30,10,10,True
233.tiff,chromatin_od,tp_at_50,10,10,True
245.tiff,tm_score,base_size,23,23,True
245.tiff,tm_score,seed_ann_id,6317,6317,True
245.tiff,tm_score,n_gt_mitotic,89,89,True
245.tiff,tm_score,n_detections,17603,17603,True
245.tiff,tm_score,tp_at_10,3,3,True
245.tiff,tm_score,tp_at_20,7,7,True
245.tiff,tm_score,tp_at_30,9,9,True
245.tiff,tm_score,tp_at_50,12,12,True
245.tiff,chromatin_od,base_size,23,23,True
245.tiff,chromatin_od,seed_ann_id,6317,6317,True
245.tiff,chromatin_od,n_gt_mitotic,89,89,True
245.tiff,chromatin_od,n_detections,17603,17603,True
245.tiff,chromatin_od,tp_at_10,2,2,True
245.tiff,chromatin_od,tp_at_20,3,3,True
245.tiff,chromatin_od,tp_at_30,4,4,True
245.tiff,chromatin_od,tp_at_50,7,7,True
246.tiff,tm_score,base_size,27,27,True
246.tiff,tm_score,seed_ann_id,6548,6548,True
246.tiff,tm_score,n_gt_mitotic,115,115,True
246.tiff,tm_score,n_detections,17845,17845,True
246.tiff,tm_score,tp_at_10,8,8,True
246.tiff,tm_score,tp_at_20,14,14,True
246.tiff,tm_score,tp_at_30,16,16,True
246.tiff,tm_score,tp_at_50,22,22,True
246.tiff,chromatin_od,base_size,27,27,True
246.tiff,chromatin_od,seed_ann_id,6548,6548,True
246.tiff,chromatin_od,n_gt_mitotic,115,115,True
246.tiff,chromatin_od,n_detections,17845,17845,True
246.tiff,chromatin_od,tp_at_10,10,10,True
246.tiff,chromatin_od,tp_at_20,20,20,True
246.tiff,chromatin_od,tp_at_30,24,24,True
246.tiff,chromatin_od,tp_at_50,35,35,True
300.tiff,tm_score,base_size,25,25,True
300.tiff,tm_score,seed_ann_id,14499,14499,True
300.tiff,tm_score,n_gt_mitotic,180,180,True
300.tiff,tm_score,n_detections,17834,17834,True
300.tiff,tm_score,tp_at_10,10,10,True
300.tiff,tm_score,tp_at_20,16,16,True
300.tiff,tm_score,tp_at_30,23,23,True
300.tiff,tm_score,tp_at_50,34,34,True
300.tiff,chromatin_od,base_size,25,25,True
300.tiff,chromatin_od,seed_ann_id,14499,14499,True
300.tiff,chromatin_od,n_gt_mitotic,180,180,True
300.tiff,chromatin_od,n_detections,17834,17834,True
300.tiff,chromatin_od,tp_at_10,10,10,True
300.tiff,chromatin_od,tp_at_20,18,18,True
300.tiff,chromatin_od,tp_at_30,26,26,True
300.tiff,chromatin_od,tp_at_50,43,43,True
301.tiff,tm_score,base_size,33,33,True
301.tiff,tm_score,seed_ann_id,14969,14969,True
301.tiff,tm_score,n_gt_mitotic,217,217,True
301.tiff,tm_score,n_detections,18394,18394,True
301.tiff,tm_score,tp_at_10,9,9,True
301.tiff,tm_score,tp_at_20,18,18,True
301.tiff,tm_score,tp_at_30,26,26,True
301.tiff,tm_score,tp_at_50,41,41,True
301.tiff,chromatin_od,base_size,33,33,True
301.tiff,chromatin_od,seed_ann_id,14969,14969,True
301.tiff,chromatin_od,n_gt_mitotic,217,217,True
301.tiff,chromatin_od,n_detections,18394,18394,True
301.tiff,chromatin_od,tp_at_10,6,6,True
301.tiff,chromatin_od,tp_at_20,15,15,True
301.tiff,chromatin_od,tp_at_30,24,24,True
301.tiff,chromatin_od,tp_at_50,41,41,True
402.tiff,tm_score,base_size,25,25,True
402.tiff,tm_score,seed_ann_id,20254,20254,True
402.tiff,tm_score,n_gt_mitotic,104,104,True
402.tiff,tm_score,n_detections,18038,18038,True
402.tiff,tm_score,tp_at_10,3,3,True
402.tiff,tm_score,tp_at_20,7,7,True
402.tiff,tm_score,tp_at_30,9,9,True
402.tiff,tm_score,tp_at_50,18,18,True
402.tiff,chromatin_od,base_size,25,25,True
402.tiff,chromatin_od,seed_ann_id,20254,20254,True
402.tiff,chromatin_od,n_gt_mitotic,104,104,True
402.tiff,chromatin_od,n_detections,18038,18038,True
402.tiff,chromatin_od,tp_at_10,7,7,True
402.tiff,chromatin_od,tp_at_20,11,11,True
402.tiff,chromatin_od,tp_at_30,16,16,True
402.tiff,chromatin_od,tp_at_50,23,23,True
403.tiff,tm_score,base_size,31,31,True
403.tiff,tm_score,seed_ann_id,20356,20356,True
403.tiff,tm_score,n_gt_mitotic,52,52,True
403.tiff,tm_score,n_detections,17626,17626,True
403.tiff,tm_score,tp_at_10,4,4,True
403.tiff,tm_score,tp_at_20,5,5,True
403.tiff,tm_score,tp_at_30,8,8,True
403.tiff,tm_score,tp_at_50,14,14,True
403.tiff,chromatin_od,base_size,31,31,True
403.tiff,chromatin_od,seed_ann_id,20356,20356,True
403.tiff,chromatin_od,n_gt_mitotic,52,52,True
403.tiff,chromatin_od,n_detections,17626,17626,True
403.tiff,chromatin_od,tp_at_10,4,4,True
403.tiff,chromatin_od,tp_at_20,10,10,True
403.tiff,chromatin_od,tp_at_30,13,13,True
403.tiff,chromatin_od,tp_at_50,22,22,True
459.tiff,tm_score,base_size,31,31,True
459.tiff,tm_score,seed_ann_id,22441,22441,True
459.tiff,tm_score,n_gt_mitotic,130,130,True
459.tiff,tm_score,n_detections,17909,17909,True
459.tiff,tm_score,tp_at_10,4,4,True
459.tiff,tm_score,tp_at_20,9,9,True
459.tiff,tm_score,tp_at_30,15,15,True
459.tiff,tm_score,tp_at_50,23,23,True
459.tiff,chromatin_od,base_size,31,31,True
459.tiff,chromatin_od,seed_ann_id,22441,22441,True
459.tiff,chromatin_od,n_gt_mitotic,130,130,True
459.tiff,chromatin_od,n_detections,17909,17909,True
459.tiff,chromatin_od,tp_at_10,9,9,True
459.tiff,chromatin_od,tp_at_20,17,17,True
459.tiff,chromatin_od,tp_at_30,25,25,True
459.tiff,chromatin_od,tp_at_50,40,40,True
460.tiff,tm_score,base_size,41,41,True
460.tiff,tm_score,seed_ann_id,22577,22577,True
460.tiff,tm_score,n_gt_mitotic,35,35,True
460.tiff,tm_score,n_detections,16082,16082,True
460.tiff,tm_score,tp_at_10,7,7,True
460.tiff,tm_score,tp_at_20,9,9,True
460.tiff,tm_score,tp_at_30,11,11,True
460.tiff,tm_score,tp_at_50,13,13,True
460.tiff,chromatin_od,base_size,41,41,True
460.tiff,chromatin_od,seed_ann_id,22577,22577,True
460.tiff,chromatin_od,n_gt_mitotic,35,35,True
460.tiff,chromatin_od,n_detections,16082,16082,True
460.tiff,chromatin_od,tp_at_10,7,7,True
460.tiff,chromatin_od,tp_at_20,12,12,True
460.tiff,chromatin_od,tp_at_30,16,16,True
460.tiff,chromatin_od,tp_at_50,20,20,True
529.tiff,tm_score,base_size,33,33,True
529.tiff,tm_score,seed_ann_id,24918,24918,True
529.tiff,tm_score,n_gt_mitotic,19,19,True
529.tiff,tm_score,n_detections,16503,16503,True
529.tiff,tm_score,tp_at_10,2,2,True
529.tiff,tm_score,tp_at_20,4,4,True
529.tiff,tm_score,tp_at_30,5,5,True
529.tiff,tm_score,tp_at_50,6,6,True
529.tiff,chromatin_od,base_size,33,33,True
529.tiff,chromatin_od,seed_ann_id,24918,24918,True
529.tiff,chromatin_od,n_gt_mitotic,19,19,True
529.tiff,chromatin_od,n_detections,16503,16503,True
529.tiff,chromatin_od,tp_at_10,6,6,True
529.tiff,chromatin_od,tp_at_20,9,9,True
529.tiff,chromatin_od,tp_at_30,11,11,True
529.tiff,chromatin_od,tp_at_50,11,11,True
548.tiff,tm_score,base_size,27,27,True
548.tiff,tm_score,seed_ann_id,25804,25804,True
548.tiff,tm_score,n_gt_mitotic,238,238,True
548.tiff,tm_score,n_detections,18117,18117,True
548.tiff,tm_score,tp_at_10,4,4,True
548.tiff,tm_score,tp_at_20,9,9,True
548.tiff,tm_score,tp_at_30,15,15,True
548.tiff,tm_score,tp_at_50,30,30,True
548.tiff,chromatin_od,base_size,27,27,True
548.tiff,chromatin_od,seed_ann_id,25804,25804,True
548.tiff,chromatin_od,n_gt_mitotic,238,238,True
548.tiff,chromatin_od,n_detections,18117,18117,True
548.tiff,chromatin_od,tp_at_10,8,8,True
548.tiff,chromatin_od,tp_at_20,16,16,True
548.tiff,chromatin_od,tp_at_30,22,22,True
548.tiff,chromatin_od,tp_at_50,38,38,True
