table,key,column,notebook,audit,match
per_roi,094.tiff/hem_bbox,tp_at_30,20,20,True
per_roi,094.tiff/hem_bbox,precision_at_30,0.6666666666666666,0.6666666666666666,True
top30,201.tiff/default_51,bucket agreement (30),30,30,True
per_roi,201.tiff/default_51,tp_at_10,4,4,True
per_roi,201.tiff/default_51,precision_at_10,0.4,0.4,True
per_roi,201.tiff/default_51,tp_at_20,8,8,True
per_roi,201.tiff/default_51,precision_at_20,0.4,0.4,True
per_roi,201.tiff/default_51,tp_at_30,9,9,True
per_roi,201.tiff/default_51,precision_at_30,0.3,0.3,True
top30,201.tiff/gray_bbox,bucket agreement (30),30,30,True
per_roi,201.tiff/gray_bbox,tp_at_10,4,4,True
per_roi,201.tiff/gray_bbox,precision_at_10,0.4,0.4,True
per_roi,201.tiff/gray_bbox,tp_at_20,8,8,True
per_roi,201.tiff/gray_bbox,precision_at_20,0.4,0.4,True
per_roi,201.tiff/gray_bbox,tp_at_30,9,9,True
per_roi,201.tiff/gray_bbox,precision_at_30,0.3,0.3,True
top30,201.tiff/hem_bbox,bucket agreement (30),30,30,True
per_roi,201.tiff/hem_bbox,tp_at_10,4,4,True
per_roi,201.tiff/hem_bbox,precision_at_10,0.4,0.4,True
per_roi,201.tiff/hem_bbox,tp_at_20,6,6,True
per_roi,201.tiff/hem_bbox,precision_at_20,0.3,0.3,True
per_roi,201.tiff/hem_bbox,tp_at_30,7,7,True
per_roi,201.tiff/hem_bbox,precision_at_30,0.2333333333333333,0.23333333333333334,True
top30,233.tiff/default_51,bucket agreement (30),30,30,True
per_roi,233.tiff/default_51,tp_at_10,6,6,True
per_roi,233.tiff/default_51,precision_at_10,0.6,0.6,True
per_roi,233.tiff/default_51,tp_at_20,8,8,True
per_roi,233.tiff/default_51,precision_at_20,0.4,0.4,True
per_roi,233.tiff/default_51,tp_at_30,9,9,True
per_roi,233.tiff/default_51,precision_at_30,0.3,0.3,True
top30,233.tiff/gray_bbox,bucket agreement (30),30,30,True
per_roi,233.tiff/gray_bbox,tp_at_10,7,7,True
per_roi,233.tiff/gray_bbox,precision_at_10,0.7,0.7,True
per_roi,233.tiff/gray_bbox,tp_at_20,8,8,True
per_roi,233.tiff/gray_bbox,precision_at_20,0.4,0.4,True
per_roi,233.tiff/gray_bbox,tp_at_30,10,10,True
per_roi,233.tiff/gray_bbox,precision_at_30,0.3333333333333333,0.3333333333333333,True
top30,233.tiff/hem_bbox,bucket agreement (30),30,30,True
per_roi,233.tiff/hem_bbox,tp_at_10,6,6,True
per_roi,233.tiff/hem_bbox,precision_at_10,0.6,0.6,True
per_roi,233.tiff/hem_bbox,tp_at_20,7,7,True
per_roi,233.tiff/hem_bbox,precision_at_20,0.35,0.35,True
per_roi,233.tiff/hem_bbox,tp_at_30,9,9,True
per_roi,233.tiff/hem_bbox,precision_at_30,0.3,0.3,True
top30,245.tiff/default_51,bucket agreement (30),30,30,True
per_roi,245.tiff/default_51,tp_at_10,1,1,True
per_roi,245.tiff/default_51,precision_at_10,0.1,0.1,True
per_roi,245.tiff/default_51,tp_at_20,4,4,True
per_roi,245.tiff/default_51,precision_at_20,0.2,0.2,True
per_roi,245.tiff/default_51,tp_at_30,7,7,True
per_roi,245.tiff/default_51,precision_at_30,0.2333333333333333,0.23333333333333334,True
top30,245.tiff/gray_bbox,bucket agreement (30),30,30,True
per_roi,245.tiff/gray_bbox,tp_at_10,1,1,True
per_roi,245.tiff/gray_bbox,precision_at_10,0.1,0.1,True
per_roi,245.tiff/gray_bbox,tp_at_20,4,4,True
per_roi,245.tiff/gray_bbox,precision_at_20,0.2,0.2,True
per_roi,245.tiff/gray_bbox,tp_at_30,7,7,True
per_roi,245.tiff/gray_bbox,precision_at_30,0.2333333333333333,0.23333333333333334,True
top30,245.tiff/hem_bbox,bucket agreement (30),30,30,True
per_roi,245.tiff/hem_bbox,tp_at_10,1,1,True
per_roi,245.tiff/hem_bbox,precision_at_10,0.1,0.1,True
per_roi,245.tiff/hem_bbox,tp_at_20,2,2,True
per_roi,245.tiff/hem_bbox,precision_at_20,0.1,0.1,True
per_roi,245.tiff/hem_bbox,tp_at_30,5,5,True
per_roi,245.tiff/hem_bbox,precision_at_30,0.1666666666666666,0.16666666666666666,True
top30,246.tiff/default_51,bucket agreement (30),30,30,True
per_roi,246.tiff/default_51,tp_at_10,10,10,True
per_roi,246.tiff/default_51,precision_at_10,1.0,1.0,True
per_roi,246.tiff/default_51,tp_at_20,17,17,True
per_roi,246.tiff/default_51,precision_at_20,0.85,0.85,True
per_roi,246.tiff/default_51,tp_at_30,23,23,True
per_roi,246.tiff/default_51,precision_at_30,0.7666666666666667,0.7666666666666667,True
top30,246.tiff/gray_bbox,bucket agreement (30),30,30,True
per_roi,246.tiff/gray_bbox,tp_at_10,10,10,True
per_roi,246.tiff/gray_bbox,precision_at_10,1.0,1.0,True
per_roi,246.tiff/gray_bbox,tp_at_20,14,14,True
per_roi,246.tiff/gray_bbox,precision_at_20,0.7,0.7,True
per_roi,246.tiff/gray_bbox,tp_at_30,21,21,True
per_roi,246.tiff/gray_bbox,precision_at_30,0.7,0.7,True
top30,246.tiff/hem_bbox,bucket agreement (30),30,30,True
per_roi,246.tiff/hem_bbox,tp_at_10,10,10,True
per_roi,246.tiff/hem_bbox,precision_at_10,1.0,1.0,True
per_roi,246.tiff/hem_bbox,tp_at_20,16,16,True
per_roi,246.tiff/hem_bbox,precision_at_20,0.8,0.8,True
per_roi,246.tiff/hem_bbox,tp_at_30,22,22,True
per_roi,246.tiff/hem_bbox,precision_at_30,0.7333333333333333,0.7333333333333333,True
top30,300.tiff/default_51,bucket agreement (30),30,30,True
per_roi,300.tiff/default_51,tp_at_10,9,9,True
per_roi,300.tiff/default_51,precision_at_10,0.9,0.9,True
per_roi,300.tiff/default_51,tp_at_20,19,19,True
per_roi,300.tiff/default_51,precision_at_20,0.95,0.95,True
per_roi,300.tiff/default_51,tp_at_30,27,27,True
per_roi,300.tiff/default_51,precision_at_30,0.9,0.9,True
top30,300.tiff/gray_bbox,bucket agreement (30),30,30,True
per_roi,300.tiff/gray_bbox,tp_at_10,9,9,True
per_roi,300.tiff/gray_bbox,precision_at_10,0.9,0.9,True
per_roi,300.tiff/gray_bbox,tp_at_20,19,19,True
per_roi,300.tiff/gray_bbox,precision_at_20,0.95,0.95,True
per_roi,300.tiff/gray_bbox,tp_at_30,27,27,True
per_roi,300.tiff/gray_bbox,precision_at_30,0.9,0.9,True
top30,300.tiff/hem_bbox,bucket agreement (30),30,30,True
per_roi,300.tiff/hem_bbox,tp_at_10,8,8,True
per_roi,300.tiff/hem_bbox,precision_at_10,0.8,0.8,True
per_roi,300.tiff/hem_bbox,tp_at_20,17,17,True
per_roi,300.tiff/hem_bbox,precision_at_20,0.85,0.85,True
per_roi,300.tiff/hem_bbox,tp_at_30,27,27,True
per_roi,300.tiff/hem_bbox,precision_at_30,0.9,0.9,True
top30,301.tiff/default_51,bucket agreement (30),30,30,True
per_roi,301.tiff/default_51,tp_at_10,8,8,True
per_roi,301.tiff/default_51,precision_at_10,0.8,0.8,True
per_roi,301.tiff/default_51,tp_at_20,18,18,True
per_roi,301.tiff/default_51,precision_at_20,0.9,0.9,True
per_roi,301.tiff/default_51,tp_at_30,26,26,True
per_roi,301.tiff/default_51,precision_at_30,0.8666666666666667,0.8666666666666667,True
top30,301.tiff/gray_bbox,bucket agreement (30),30,30,True
per_roi,301.tiff/gray_bbox,tp_at_10,8,8,True
per_roi,301.tiff/gray_bbox,precision_at_10,0.8,0.8,True
per_roi,301.tiff/gray_bbox,tp_at_20,18,18,True
per_roi,301.tiff/gray_bbox,precision_at_20,0.9,0.9,True
per_roi,301.tiff/gray_bbox,tp_at_30,27,27,True
per_roi,301.tiff/gray_bbox,precision_at_30,0.9,0.9,True
top30,301.tiff/hem_bbox,bucket agreement (30),30,30,True
per_roi,301.tiff/hem_bbox,tp_at_10,8,8,True
per_roi,301.tiff/hem_bbox,precision_at_10,0.8,0.8,True
per_roi,301.tiff/hem_bbox,tp_at_20,17,17,True
per_roi,301.tiff/hem_bbox,precision_at_20,0.85,0.85,True
per_roi,301.tiff/hem_bbox,tp_at_30,26,26,True
per_roi,301.tiff/hem_bbox,precision_at_30,0.8666666666666667,0.8666666666666667,True
top30,402.tiff/default_51,bucket agreement (30),30,30,True
per_roi,402.tiff/default_51,tp_at_10,8,8,True
per_roi,402.tiff/default_51,precision_at_10,0.8,0.8,True
per_roi,402.tiff/default_51,tp_at_20,14,14,True
per_roi,402.tiff/default_51,precision_at_20,0.7,0.7,True
per_roi,402.tiff/default_51,tp_at_30,19,19,True
per_roi,402.tiff/default_51,precision_at_30,0.6333333333333333,0.6333333333333333,True
top30,402.tiff/gray_bbox,bucket agreement (30),30,30,True
per_roi,402.tiff/gray_bbox,tp_at_10,7,7,True
per_roi,402.tiff/gray_bbox,precision_at_10,0.7,0.7,True
per_roi,402.tiff/gray_bbox,tp_at_20,12,12,True
per_roi,402.tiff/gray_bbox,precision_at_20,0.6,0.6,True
per_roi,402.tiff/gray_bbox,tp_at_30,15,15,True
per_roi,402.tiff/gray_bbox,precision_at_30,0.5,0.5,True
top30,402.tiff/hem_bbox,bucket agreement (30),30,30,True
per_roi,402.tiff/hem_bbox,tp_at_10,7,7,True
per_roi,402.tiff/hem_bbox,precision_at_10,0.7,0.7,True
per_roi,402.tiff/hem_bbox,tp_at_20,11,11,True
per_roi,402.tiff/hem_bbox,precision_at_20,0.55,0.55,True
per_roi,402.tiff/hem_bbox,tp_at_30,15,15,True
per_roi,402.tiff/hem_bbox,precision_at_30,0.5,0.5,True
top30,403.tiff/default_51,bucket agreement (30),30,30,True
per_roi,403.tiff/default_51,tp_at_10,5,5,True
per_roi,403.tiff/default_51,precision_at_10,0.5,0.5,True
per_roi,403.tiff/default_51,tp_at_20,10,10,True
per_roi,403.tiff/default_51,precision_at_20,0.5,0.5,True
per_roi,403.tiff/default_51,tp_at_30,14,14,True
per_roi,403.tiff/default_51,precision_at_30,0.4666666666666667,0.4666666666666667,True
top30,403.tiff/gray_bbox,bucket agreement (30),30,30,True
per_roi,403.tiff/gray_bbox,tp_at_10,5,5,True
per_roi,403.tiff/gray_bbox,precision_at_10,0.5,0.5,True
per_roi,403.tiff/gray_bbox,tp_at_20,10,10,True
per_roi,403.tiff/gray_bbox,precision_at_20,0.5,0.5,True
per_roi,403.tiff/gray_bbox,tp_at_30,14,14,True
per_roi,403.tiff/gray_bbox,precision_at_30,0.4666666666666667,0.4666666666666667,True
top30,403.tiff/hem_bbox,bucket agreement (30),30,30,True
per_roi,403.tiff/hem_bbox,tp_at_10,4,4,True
per_roi,403.tiff/hem_bbox,precision_at_10,0.4,0.4,True
per_roi,403.tiff/hem_bbox,tp_at_20,7,7,True
per_roi,403.tiff/hem_bbox,precision_at_20,0.35,0.35,True
per_roi,403.tiff/hem_bbox,tp_at_30,10,10,True
per_roi,403.tiff/hem_bbox,precision_at_30,0.3333333333333333,0.3333333333333333,True
top30,459.tiff/default_51,bucket agreement (30),30,30,True
per_roi,459.tiff/default_51,tp_at_10,9,9,True
per_roi,459.tiff/default_51,precision_at_10,0.9,0.9,True
per_roi,459.tiff/default_51,tp_at_20,17,17,True
per_roi,459.tiff/default_51,precision_at_20,0.85,0.85,True
per_roi,459.tiff/default_51,tp_at_30,26,26,True
per_roi,459.tiff/default_51,precision_at_30,0.8666666666666667,0.8666666666666667,True
top30,459.tiff/gray_bbox,bucket agreement (30),30,30,True
per_roi,459.tiff/gray_bbox,tp_at_10,9,9,True
per_roi,459.tiff/gray_bbox,precision_at_10,0.9,0.9,True
per_roi,459.tiff/gray_bbox,tp_at_20,17,17,True
per_roi,459.tiff/gray_bbox,precision_at_20,0.85,0.85,True
per_roi,459.tiff/gray_bbox,tp_at_30,25,25,True
per_roi,459.tiff/gray_bbox,precision_at_30,0.8333333333333334,0.8333333333333334,True
top30,459.tiff/hem_bbox,bucket agreement (30),30,30,True
per_roi,459.tiff/hem_bbox,tp_at_10,9,9,True
per_roi,459.tiff/hem_bbox,precision_at_10,0.9,0.9,True
per_roi,459.tiff/hem_bbox,tp_at_20,17,17,True
per_roi,459.tiff/hem_bbox,precision_at_20,0.85,0.85,True
per_roi,459.tiff/hem_bbox,tp_at_30,25,25,True
per_roi,459.tiff/hem_bbox,precision_at_30,0.8333333333333334,0.8333333333333334,True
top30,460.tiff/default_51,bucket agreement (30),30,30,True
per_roi,460.tiff/default_51,tp_at_10,7,7,True
per_roi,460.tiff/default_51,precision_at_10,0.7,0.7,True
per_roi,460.tiff/default_51,tp_at_20,16,16,True
per_roi,460.tiff/default_51,precision_at_20,0.8,0.8,True
per_roi,460.tiff/default_51,tp_at_30,17,17,True
per_roi,460.tiff/default_51,precision_at_30,0.5666666666666667,0.5666666666666667,True
top30,460.tiff/gray_bbox,bucket agreement (30),30,30,True
per_roi,460.tiff/gray_bbox,tp_at_10,7,7,True
per_roi,460.tiff/gray_bbox,precision_at_10,0.7,0.7,True
per_roi,460.tiff/gray_bbox,tp_at_20,16,16,True
per_roi,460.tiff/gray_bbox,precision_at_20,0.8,0.8,True
per_roi,460.tiff/gray_bbox,tp_at_30,17,17,True
per_roi,460.tiff/gray_bbox,precision_at_30,0.5666666666666667,0.5666666666666667,True
top30,460.tiff/hem_bbox,bucket agreement (30),30,30,True
per_roi,460.tiff/hem_bbox,tp_at_10,7,7,True
per_roi,460.tiff/hem_bbox,precision_at_10,0.7,0.7,True
per_roi,460.tiff/hem_bbox,tp_at_20,14,14,True
per_roi,460.tiff/hem_bbox,precision_at_20,0.7,0.7,True
per_roi,460.tiff/hem_bbox,tp_at_30,15,15,True
per_roi,460.tiff/hem_bbox,precision_at_30,0.5,0.5,True
top30,529.tiff/default_51,bucket agreement (30),30,30,True
per_roi,529.tiff/default_51,tp_at_10,7,7,True
per_roi,529.tiff/default_51,precision_at_10,0.7,0.7,True
per_roi,529.tiff/default_51,tp_at_20,8,8,True
per_roi,529.tiff/default_51,precision_at_20,0.4,0.4,True
per_roi,529.tiff/default_51,tp_at_30,9,9,True
per_roi,529.tiff/default_51,precision_at_30,0.3,0.3,True
top30,529.tiff/gray_bbox,bucket agreement (30),30,30,True
per_roi,529.tiff/gray_bbox,tp_at_10,6,6,True
per_roi,529.tiff/gray_bbox,precision_at_10,0.6,0.6,True
per_roi,529.tiff/gray_bbox,tp_at_20,7,7,True
per_roi,529.tiff/gray_bbox,precision_at_20,0.35,0.35,True
per_roi,529.tiff/gray_bbox,tp_at_30,7,7,True
per_roi,529.tiff/gray_bbox,precision_at_30,0.2333333333333333,0.23333333333333334,True
top30,529.tiff/hem_bbox,bucket agreement (30),30,30,True
per_roi,529.tiff/hem_bbox,tp_at_10,6,6,True
per_roi,529.tiff/hem_bbox,precision_at_10,0.6,0.6,True
per_roi,529.tiff/hem_bbox,tp_at_20,8,8,True
per_roi,529.tiff/hem_bbox,precision_at_20,0.4,0.4,True
per_roi,529.tiff/hem_bbox,tp_at_30,8,8,True
per_roi,529.tiff/hem_bbox,precision_at_30,0.2666666666666666,0.26666666666666666,True
top30,548.tiff/default_51,bucket agreement (30),30,30,True
per_roi,548.tiff/default_51,tp_at_10,9,9,True
per_roi,548.tiff/default_51,precision_at_10,0.9,0.9,True
per_roi,548.tiff/default_51,tp_at_20,15,15,True
per_roi,548.tiff/default_51,precision_at_20,0.75,0.75,True
per_roi,548.tiff/default_51,tp_at_30,22,22,True
per_roi,548.tiff/default_51,precision_at_30,0.7333333333333333,0.7333333333333333,True
top30,548.tiff/gray_bbox,bucket agreement (30),30,30,True
per_roi,548.tiff/gray_bbox,tp_at_10,8,8,True
per_roi,548.tiff/gray_bbox,precision_at_10,0.8,0.8,True
per_roi,548.tiff/gray_bbox,tp_at_20,13,13,True
per_roi,548.tiff/gray_bbox,precision_at_20,0.65,0.65,True
per_roi,548.tiff/gray_bbox,tp_at_30,21,21,True
per_roi,548.tiff/gray_bbox,precision_at_30,0.7,0.7,True
top30,548.tiff/hem_bbox,bucket agreement (30),30,30,True
per_roi,548.tiff/hem_bbox,tp_at_10,8,8,True
per_roi,548.tiff/hem_bbox,precision_at_10,0.8,0.8,True
per_roi,548.tiff/hem_bbox,tp_at_20,13,13,True
per_roi,548.tiff/hem_bbox,precision_at_20,0.65,0.65,True
per_roi,548.tiff/hem_bbox,tp_at_30,21,21,True
per_roi,548.tiff/hem_bbox,precision_at_30,0.7,0.7,True
summary,default_51/K10,tp_sum,94,94,True
summary,default_51/K10,precision_pooled,0.6714,0.6714,True
summary,default_51/K10,worst_roi_precision,0.1,0.1,True
summary,default_51/K10,n_roi_at_worst,1,1,True
summary,default_51/K10,best_roi_precision,1.0,1.0,True
summary,default_51/K20,tp_sum,177,177,True
summary,default_51/K20,precision_pooled,0.6321,0.6321,True
summary,default_51/K20,worst_roi_precision,0.2,0.2,True
summary,default_51/K20,n_roi_at_worst,1,1,True
summary,default_51/K20,best_roi_precision,0.95,0.95,True
summary,default_51/K30,tp_sum,238,238,True
summary,default_51/K30,precision_pooled,0.5667,0.5667,True
summary,default_51/K30,worst_roi_precision,0.2333,0.2333,True
summary,default_51/K30,n_roi_at_worst,1,1,True
summary,default_51/K30,best_roi_precision,0.9,0.9,True
summary,gray_bbox/K10,tp_sum,92,92,True
summary,gray_bbox/K10,precision_pooled,0.6571,0.6571,True
summary,gray_bbox/K10,worst_roi_precision,0.1,0.1,True
summary,gray_bbox/K10,n_roi_at_worst,1,1,True
summary,gray_bbox/K10,best_roi_precision,1.0,1.0,True
summary,gray_bbox/K20,tp_sum,169,169,True
summary,gray_bbox/K20,precision_pooled,0.6036,0.6036,True
summary,gray_bbox/K20,worst_roi_precision,0.2,0.2,True
summary,gray_bbox/K20,n_roi_at_worst,1,1,True
summary,gray_bbox/K20,best_roi_precision,0.95,0.95,True
summary,gray_bbox/K30,tp_sum,231,231,True
summary,gray_bbox/K30,precision_pooled,0.55,0.55,True
summary,gray_bbox/K30,worst_roi_precision,0.2333,0.2333,True
summary,gray_bbox/K30,n_roi_at_worst,2,2,True
summary,gray_bbox/K30,best_roi_precision,0.9,0.9,True
summary,hem_bbox/K10,tp_sum,89,89,True
summary,hem_bbox/K10,precision_pooled,0.6357,0.6357,True
summary,hem_bbox/K10,worst_roi_precision,0.1,0.1,True
summary,hem_bbox/K10,n_roi_at_worst,1,1,True
summary,hem_bbox/K10,best_roi_precision,1.0,1.0,True
summary,hem_bbox/K20,tp_sum,158,158,True
summary,hem_bbox/K20,precision_pooled,0.5643,0.5643,True
summary,hem_bbox/K20,worst_roi_precision,0.1,0.1,True
summary,hem_bbox/K20,n_roi_at_worst,1,1,True
summary,hem_bbox/K20,best_roi_precision,0.85,0.85,True
summary,hem_bbox/K30,tp_sum,220,220,True
summary,hem_bbox/K30,precision_pooled,0.5238,0.5238,True
summary,hem_bbox/K30,worst_roi_precision,0.1667,0.1667,True
summary,hem_bbox/K30,n_roi_at_worst,1,1,True
summary,hem_bbox/K30,best_roi_precision,0.9,0.9,True
by_domain,canine cutaneous mast cell tumor/default_51/K10,precision_pooled,0.85,0.85,True
by_domain,canine cutaneous mast cell tumor/default_51/K10,tp_sum,17,17,True
by_domain,canine cutaneous mast cell tumor/default_51/K20,precision_pooled,0.925,0.925,True
by_domain,canine cutaneous mast cell tumor/default_51/K20,tp_sum,37,37,True
by_domain,canine cutaneous mast cell tumor/default_51/K30,precision_pooled,0.8833,0.8833,True
by_domain,canine cutaneous mast cell tumor/default_51/K30,tp_sum,53,53,True
by_domain,canine cutaneous mast cell tumor/gray_bbox/K10,precision_pooled,0.85,0.85,True
by_domain,canine cutaneous mast cell tumor/gray_bbox/K10,tp_sum,17,17,True
by_domain,canine cutaneous mast cell tumor/gray_bbox/K20,precision_pooled,0.925,0.925,True
by_domain,canine cutaneous mast cell tumor/gray_bbox/K20,tp_sum,37,37,True
by_domain,canine cutaneous mast cell tumor/gray_bbox/K30,precision_pooled,0.9,0.9,True
by_domain,canine cutaneous mast cell tumor/gray_bbox/K30,tp_sum,54,54,True
by_domain,canine cutaneous mast cell tumor/hem_bbox/K10,precision_pooled,0.8,0.8,True
by_domain,canine cutaneous mast cell tumor/hem_bbox/K10,tp_sum,16,16,True
by_domain,canine cutaneous mast cell tumor/hem_bbox/K20,precision_pooled,0.85,0.85,True
by_domain,canine cutaneous mast cell tumor/hem_bbox/K20,tp_sum,34,34,True
by_domain,canine cutaneous mast cell tumor/hem_bbox/K30,precision_pooled,0.8833,0.8833,True
by_domain,canine cutaneous mast cell tumor/hem_bbox/K30,tp_sum,53,53,True
by_domain,canine lung cancer/default_51/K10,precision_pooled,0.5,0.5,True
by_domain,canine lung cancer/default_51/K10,tp_sum,10,10,True
by_domain,canine lung cancer/default_51/K20,precision_pooled,0.4,0.4,True
by_domain,canine lung cancer/default_51/K20,tp_sum,16,16,True
by_domain,canine lung cancer/default_51/K30,precision_pooled,0.3,0.3,True
by_domain,canine lung cancer/default_51/K30,tp_sum,18,18,True
by_domain,canine lung cancer/gray_bbox/K10,precision_pooled,0.55,0.55,True
by_domain,canine lung cancer/gray_bbox/K10,tp_sum,11,11,True
by_domain,canine lung cancer/gray_bbox/K20,precision_pooled,0.4,0.4,True
by_domain,canine lung cancer/gray_bbox/K20,tp_sum,16,16,True
by_domain,canine lung cancer/gray_bbox/K30,precision_pooled,0.3167,0.3167,True
by_domain,canine lung cancer/gray_bbox/K30,tp_sum,19,19,True
by_domain,canine lung cancer/hem_bbox/K10,precision_pooled,0.5,0.5,True
by_domain,canine lung cancer/hem_bbox/K10,tp_sum,10,10,True
by_domain,canine lung cancer/hem_bbox/K20,precision_pooled,0.325,0.325,True
by_domain,canine lung cancer/hem_bbox/K20,tp_sum,13,13,True
by_domain,canine lung cancer/hem_bbox/K30,precision_pooled,0.2667,0.2667,True
by_domain,canine lung cancer/hem_bbox/K30,tp_sum,16,16,True
by_domain,canine lymphosarcoma/default_51/K10,precision_pooled,0.55,0.55,True
by_domain,canine lymphosarcoma/default_51/K10,tp_sum,11,11,True
by_domain,canine lymphosarcoma/default_51/K20,precision_pooled,0.525,0.525,True
by_domain,canine lymphosarcoma/default_51/K20,tp_sum,21,21,True
by_domain,canine lymphosarcoma/default_51/K30,precision_pooled,0.5,0.5,True
by_domain,canine lymphosarcoma/default_51/K30,tp_sum,30,30,True
by_domain,canine lymphosarcoma/gray_bbox/K10,precision_pooled,0.55,0.55,True
by_domain,canine lymphosarcoma/gray_bbox/K10,tp_sum,11,11,True
by_domain,canine lymphosarcoma/gray_bbox/K20,precision_pooled,0.45,0.45,True
by_domain,canine lymphosarcoma/gray_bbox/K20,tp_sum,18,18,True
by_domain,canine lymphosarcoma/gray_bbox/K30,precision_pooled,0.4667,0.4667,True
by_domain,canine lymphosarcoma/gray_bbox/K30,tp_sum,28,28,True
by_domain,canine lymphosarcoma/hem_bbox/K10,precision_pooled,0.55,0.55,True
by_domain,canine lymphosarcoma/hem_bbox/K10,tp_sum,11,11,True
by_domain,canine lymphosarcoma/hem_bbox/K20,precision_pooled,0.45,0.45,True
by_domain,canine lymphosarcoma/hem_bbox/K20,tp_sum,18,18,True
by_domain,canine lymphosarcoma/hem_bbox/K30,precision_pooled,0.45,0.45,True
by_domain,canine lymphosarcoma/hem_bbox/K30,tp_sum,27,27,True
by_domain,canine soft tissue sarcoma/default_51/K10,precision_pooled,0.8,0.8,True
by_domain,canine soft tissue sarcoma/default_51/K10,tp_sum,16,16,True
by_domain,canine soft tissue sarcoma/default_51/K20,precision_pooled,0.825,0.825,True
by_domain,canine soft tissue sarcoma/default_51/K20,tp_sum,33,33,True
by_domain,canine soft tissue sarcoma/default_51/K30,precision_pooled,0.7167,0.7167,True
by_domain,canine soft tissue sarcoma/default_51/K30,tp_sum,43,43,True
by_domain,canine soft tissue sarcoma/gray_bbox/K10,precision_pooled,0.8,0.8,True
by_domain,canine soft tissue sarcoma/gray_bbox/K10,tp_sum,16,16,True
by_domain,canine soft tissue sarcoma/gray_bbox/K20,precision_pooled,0.825,0.825,True
by_domain,canine soft tissue sarcoma/gray_bbox/K20,tp_sum,33,33,True
by_domain,canine soft tissue sarcoma/gray_bbox/K30,precision_pooled,0.7,0.7,True
by_domain,canine soft tissue sarcoma/gray_bbox/K30,tp_sum,42,42,True
by_domain,canine soft tissue sarcoma/hem_bbox/K10,precision_pooled,0.8,0.8,True
by_domain,canine soft tissue sarcoma/hem_bbox/K10,tp_sum,16,16,True
by_domain,canine soft tissue sarcoma/hem_bbox/K20,precision_pooled,0.775,0.775,True
by_domain,canine soft tissue sarcoma/hem_bbox/K20,tp_sum,31,31,True
by_domain,canine soft tissue sarcoma/hem_bbox/K30,precision_pooled,0.6667,0.6667,True
